**********
Day 1:
**********

12:00 PM:  CANDYCE FERET arrived at FSC Chick-fil-A and entered Order Line 1.
12:01 PM:  CANDYCE FERET is at the front of Order Line 1 and is now placing order.
12:01 PM:  WILHELMINA POWSEY arrived at FSC Chick-fil-A and entered Order Line 2.
12:02 PM:  WILHELMINA POWSEY is at the front of Order Line 2 and is now placing order.
12:03 PM:  WILHELMINA POWSEY received all items, paid $7.19, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
12:04 PM:  MARINDA FROMONG arrived at FSC Chick-fil-A and entered Order Line 2.
12:05 PM:  CANDYCE FERET received all items, paid $35.56, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
12:05 PM:  MARINDA FROMONG is at the front of Order Line 2 and is now placing order.
12:07 PM:  SHEENA ZAPPIA arrived at FSC Chick-fil-A and entered Order Line 1.
12:07 PM:  OLLIE WHITBREAD arrived at FSC Chick-fil-A and entered Order Line 3.
12:08 PM:  SHEENA ZAPPIA is at the front of Order Line 1 and is now placing order.
12:08 PM:  OLLIE WHITBREAD is at the front of Order Line 3 and is now placing order.
12:08 PM:  LANELLE MARFIL arrived at FSC Chick-fil-A and entered Order Line 1.
12:09 PM:  SHEENA ZAPPIA received all items, paid $4.05, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
12:09 PM:  MARINDA FROMONG received all items, paid $57.35, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
12:10 PM:  LANELLE MARFIL is at the front of Order Line 1 and is now placing order.
12:11 PM:  KENNITH HILBNER arrived at FSC Chick-fil-A and entered Order Line 2.
12:11 PM:  ANGIE DOCKWILLER arrived at FSC Chick-fil-A and entered Order Line 1.
12:11 PM:  RALPH RIESER arrived at FSC Chick-fil-A and entered Order Line 2.
12:12 PM:  LANELLE MARFIL received all items, paid $5.90, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
12:12 PM:  KENNITH HILBNER is at the front of Order Line 2 and is now placing order.
12:12 PM:  OLLIE WHITBREAD received all items, paid $69.41, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
12:12 PM:  ALPHA JORY arrived at FSC Chick-fil-A and entered Order Line 3.
12:13 PM:  ANGIE DOCKWILLER is at the front of Order Line 1 and is now placing order.
12:13 PM:  ALPHA JORY is at the front of Order Line 3 and is now placing order.
12:13 PM:  WILLODEAN ONEAL arrived at FSC Chick-fil-A and entered Order Line 1.
12:14 PM:  KENNITH HILBNER received all items, paid $8.70, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
12:15 PM:  RALPH RIESER is at the front of Order Line 2 and is now placing order.
12:16 PM:  ANGIE DOCKWILLER received all items, paid $21.10, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
12:16 PM:  SAUNDRA GOEHRINGER arrived at FSC Chick-fil-A and entered Order Line 1.
12:16 PM:  RUFINA SCHWISTER arrived at FSC Chick-fil-A and entered Order Line 2.
12:17 PM:  WILLODEAN ONEAL is at the front of Order Line 1 and is now placing order.
12:17 PM:  ALPHA JORY received all items, paid $35.52, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
12:19 PM:  DOUGLASS PURSLEY arrived at FSC Chick-fil-A and entered Order Line 3.
12:19 PM:  MELODI SPARGO arrived at FSC Chick-fil-A and entered Order Line 3.
12:20 PM:  RALPH RIESER received all items, paid $63.28, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
12:20 PM:  DOUGLASS PURSLEY is at the front of Order Line 3 and is now placing order.
12:20 PM:  NINA OYUELA arrived at FSC Chick-fil-A and entered Order Line 2.
12:20 PM:  AIKO KOSTELNIK arrived at FSC Chick-fil-A and entered Order Line 1.
12:21 PM:  WILLODEAN ONEAL received all items, paid $62.65, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
12:21 PM:  RUFINA SCHWISTER is at the front of Order Line 2 and is now placing order.
12:22 PM:  SAUNDRA GOEHRINGER is at the front of Order Line 1 and is now placing order.
12:23 PM:  DOUGLASS PURSLEY received all items, paid $20.81, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
12:23 PM:  BERENICE AUSTILL arrived at FSC Chick-fil-A and entered Order Line 3.
12:23 PM:  HERMILA CHRISTOPHER arrived at FSC Chick-fil-A and entered Order Line 1.
12:24 PM:  RUFINA SCHWISTER received all items, paid $19.14, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
12:24 PM:  MELODI SPARGO is at the front of Order Line 3 and is now placing order.
12:24 PM:  SHAREE KONSTANTINIDI arrived at FSC Chick-fil-A and entered Order Line 2.
12:25 PM:  NINA OYUELA is at the front of Order Line 2 and is now placing order.
12:25 PM:  ELISE ROBERG arrived at FSC Chick-fil-A and entered Order Line 2.
12:26 PM:  SAUNDRA GOEHRINGER received all items, paid $50.32, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
12:26 PM:  MELODI SPARGO received all items, paid $29.52, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
12:27 PM:  AIKO KOSTELNIK is at the front of Order Line 1 and is now placing order.
12:27 PM:  NINA OYUELA received all items, paid $7.14, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
12:27 PM:  BERENICE AUSTILL is at the front of Order Line 3 and is now placing order.
12:27 PM:  WYATT TURKINGTON arrived at FSC Chick-fil-A and entered Order Line 3.
12:28 PM:  SHAREE KONSTANTINIDI is at the front of Order Line 2 and is now placing order.
12:29 PM:  AIKO KOSTELNIK received all items, paid $26.33, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
12:29 PM:  BO VENNERI arrived at FSC Chick-fil-A and entered Order Line 1.
12:30 PM:  HERMILA CHRISTOPHER is at the front of Order Line 1 and is now placing order.
12:31 PM:  SHAREE KONSTANTINIDI received all items, paid $30.09, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
12:31 PM:  BERENICE AUSTILL received all items, paid $64.45, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
12:32 PM:  ELISE ROBERG is at the front of Order Line 2 and is now placing order.
12:32 PM:  WYATT TURKINGTON is at the front of Order Line 3 and is now placing order.
12:32 PM:  HOLLY FELCH arrived at FSC Chick-fil-A and entered Order Line 2.
12:33 PM:  ELISE ROBERG received all items, paid $5.55, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
12:34 PM:  HOLLY FELCH is at the front of Order Line 2 and is now placing order.
12:34 PM:  TIERRA SINGHARATH arrived at FSC Chick-fil-A and entered Order Line 2.
12:35 PM:  HERMILA CHRISTOPHER received all items, paid $39.58, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
12:35 PM:  JOHNATHON WINGETT arrived at FSC Chick-fil-A and entered Order Line 1.
12:35 PM:  SHANNA BADERTSCHER arrived at FSC Chick-fil-A and entered Order Line 3.
12:36 PM:  BO VENNERI is at the front of Order Line 1 and is now placing order.
12:37 PM:  WYATT TURKINGTON received all items, paid $37.07, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
12:38 PM:  HOLLY FELCH received all items, paid $23.94, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
12:38 PM:  SHANNA BADERTSCHER is at the front of Order Line 3 and is now placing order.
12:38 PM:  DANTE AGNELLO arrived at FSC Chick-fil-A and entered Order Line 2.
12:39 PM:  BO VENNERI received all items, paid $23.55, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
12:39 PM:  TIERRA SINGHARATH is at the front of Order Line 2 and is now placing order.
12:39 PM:  DIONNA LENTS arrived at FSC Chick-fil-A and entered Order Line 1.
12:40 PM:  JOHNATHON WINGETT is at the front of Order Line 1 and is now placing order.
12:42 PM:  TIERRA SINGHARATH received all items, paid $65.79, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
12:42 PM:  SHANNA BADERTSCHER received all items, paid $40.60, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
12:42 PM:  LINDY WEETER arrived at FSC Chick-fil-A and entered Order Line 3.
12:43 PM:  JOHNATHON WINGETT received all items, paid $31.75, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
12:43 PM:  DANTE AGNELLO is at the front of Order Line 2 and is now placing order.
12:43 PM:  LINDY WEETER is at the front of Order Line 3 and is now placing order.
12:43 PM:  LOURA KOLLING arrived at FSC Chick-fil-A and entered Order Line 1.
12:44 PM:  DIONNA LENTS is at the front of Order Line 1 and is now placing order.
12:44 PM:  SAMMIE KOCHLER arrived at FSC Chick-fil-A and entered Order Line 2.
12:44 PM:  ROSALYN DOLPHIN arrived at FSC Chick-fil-A and entered Order Line 3.
12:45 PM:  RENATE ETTMAN arrived at FSC Chick-fil-A and entered Order Line 1.
12:45 PM:  LUDIE CRANER arrived at FSC Chick-fil-A and entered Order Line 2.
12:46 PM:  DIONNA LENTS received all items, paid $13.17, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
12:47 PM:  LOURA KOLLING is at the front of Order Line 1 and is now placing order.
12:47 PM:  DANTE AGNELLO received all items, paid $31.61, and is exiting Order Line 2 (leaving FSC Chick-fil-A).
12:47 PM:  LINDY WEETER received all items, paid $23.03, and is exiting Order Line 3 (leaving FSC Chick-fil-A).
12:48 PM:  SAMMIE KOCHLER is at the front of Order Line 2 and is now placing order.
12:48 PM:  ROSALYN DOLPHIN is at the front of Order Line 3 and is now placing order.
12:48 PM:  HECTOR STEENBURG arrived at FSC Chick-fil-A and entered Order Line 3.
12:49 PM:  LOURA KOLLING received all items, paid $28.47, and is exiting Order Line 1 (leaving FSC Chick-fil-A).
